ID,flesch_kincaid_score,gunning_fog_index,average_syllables,polysyllabic_word_count
SOU07,66.40073529411765,11.925145442792502,1.3962962962962964,32
BOD12,73.23356304985339,9.774389051808408,1.3228699551569507,15
UPL02,50.68134116833738,16.407742827514692,1.4796238244514106,46
SPC05,70.47746606334843,8.890698843640022,1.38860103626943,17
SOU14,51.27095238095242,15.512925170068028,1.605263157894737,24
UCA05,69.01553911205076,10.2723044397463,1.391304347826087,18
LYO05,51.13202905342081,14.271040299906282,1.5324675324675323,37
CVL03,62.93753968253969,11.936507936507937,1.4576271186440677,23
LRE11,63.435878787878806,10.334260249554369,1.4415584415584417,25
SOU15,59.49566473988439,14.047563996696946,1.3853658536585365,19
LDV05,71.9279525139665,9.841564245810057,1.3067226890756305,14
UCA14,72.62637195121953,8.734146341463415,1.3827751196172249,21
PES07,54.74935897435901,12.830769230769231,1.5054347826086956,23
OCM13,73.97942307692308,9.152991452991452,1.3578947368421053,19
UCA11,47.26678571428573,14.80952380952381,1.5905511811023625,43
BOD01,65.9227543424318,10.188585607940448,1.456989247311828,23
ALS10,74.71247821144374,9.201818870784388,1.3278688524590163,17
ALS11,64.34411987522284,11.367023172905528,1.420408163265306,27
BOD07,87.83642721604772,7.13353212252643,1.2214022140221403,13
SPC04,71.01952949438203,9.393820224719102,1.3863636363636365,22
HES08,50.73678770242918,13.300506072874493,1.5477707006369428,46
LDV09,49.53998432601884,12.149216300940438,1.6397058823529411,26
LYO11,72.03160071301248,9.264741532976828,1.3733333333333333,20
LOR08,66.63798469387757,9.79795918367347,1.403225806451613,18
PES08,50.610000000000014,14.0,1.5865921787709498,32
BRE14,58.91867112299465,11.971978609625667,1.4380530973451326,21
UCA07,74.91506787330319,8.302262443438915,1.3780487804878048,15
SPC08,54.70306458247634,12.59876593994241,1.527027027027027,32
LDV08,54.89077540106956,12.516221033868092,1.4814814814814814,26
OCM14,69.76928571428572,7.895238095238096,1.3883495145631068,13
ALS08,60.402400783929465,12.219304262616363,1.476683937823834,29
BRE16,54.13601851851851,13.527219282774835,1.5104166666666667,41
GRE07,71.03654199011997,7.757515878616798,1.4014598540145986,12
HES06,58.45436781609197,10.4183908045977,1.5973154362416109,26
LYO01,58.37038461538464,12.201709401709405,1.4444444444444444,30
BFC06,45.31200000000001,19.081418439716312,1.5061349693251531,56
OCM08,57.15547058823532,13.454117647058824,1.449579831932773,27
ALS05,54.5436057692308,16.10897435897436,1.454954954954955,32
ALS09,64.61025512176269,11.148202551217627,1.4090909090909092,25
BOD04,55.14051383399212,12.777865612648222,1.4954545454545454,29
BRE04,55.83772727272731,12.15551257253385,1.491304347826087,26
BOD11,58.684500000000014,13.513333333333334,1.4525862068965518,30
SPC09,56.14939516129033,10.41182795698925,1.5932203389830508,19
LOR03,79.34500000000003,7.809090909090909,1.2986425339366516,15
SEN02,73.59863636363639,10.103896103896105,1.3109540636042405,22
GRE01,54.06761363636366,12.56818181818182,1.5101010101010102,29
GRE13,60.7565384615385,11.1037643207856,1.456140350877193,25
BFC02,70.03518060836505,10.251928299837044,1.3615635179153094,22
NOR04,60.252345890410965,12.505479452054796,1.4463276836158192,21
GRE03,61.75622784810128,11.130126582278482,1.433673469387755,19
PES03,49.685882352941206,14.120261437908496,1.5573770491803278,28
HES03,83.1351364764268,5.012076095947064,1.3153153153153154,5
CFE09,60.88000000000002,11.313708513708514,1.4549180327868851,28
HES05,55.60891985138005,12.621868365180468,1.5226130653266332,30
SOU09,62.97737500000002,9.495,1.477124183006536,15
ALS03,54.46081885856083,12.253101736972706,1.5604395604395604,29
LDV07,62.71655677655679,11.74131054131054,1.443478260869565,30
CFE05,59.74661219195852,12.145162127107652,1.4472843450479234,35
OCM11,83.02000000000002,6.85925925925926,1.2906976744186047,12
LRE02,74.37532041728765,9.277496274217588,1.2991071428571428,12
HES02,81.23774946921445,6.557355171367911,1.3115577889447236,14
LYO02,63.17073453608248,13.823711340206186,1.353982300884956,20
CFE02,59.22345025053687,11.232355046528276,1.5,21
POF05,50.38713578088581,12.5988344988345,1.5722222222222222,32
BFC10,58.25568294701986,13.11291390728477,1.4301075268817205,21
OCM18,71.61199478487615,9.73993915688831,1.3422222222222222,19
SPC03,49.842134146341465,15.27317073170732,1.520408163265306,30
UCA02,67.73928571428571,11.314285714285717,1.391025641025641,18
CVL01,85.78064102564106,6.543589743589743,1.2714285714285714,6
OCM07,64.31342146596862,11.619057591623038,1.3963963963963963,19
LRE09,57.34094827586208,11.86896551724138,1.477777777777778,22
SOU01,61.71121212121216,11.87878787878788,1.400735294117647,27
UPS10,77.73585564304463,8.978057742782154,1.282312925170068,14
HES01,78.54156048675735,7.767788117394417,1.305732484076433,10
NOR05,66.70809210526316,10.378362573099416,1.4271356783919598,21
SOU13,78.70070512820514,7.820512820512821,1.3248945147679323,18
ALS04,74.35029094827588,9.21293103448276,1.3346613545816732,21
NOR12,53.19389534883723,15.266666666666666,1.47557003257329,44
LYO10,74.17341652684564,8.02030201342282,1.371584699453552,16
PES04,50.91310810810813,12.877220077220077,1.5638297872340423,16
SOU10,58.13999999999999,13.496296296296295,1.4777327935222673,34
PES06,51.87975,13.9,1.5402298850574712,25
NOR10,68.93950000000002,9.480000000000002,1.392156862745098,15
SEN01,66.33875,11.15,1.4148936170212767,21
BFC09,43.14000000000004,19.0,1.4982332155477032,43
LOR02,64.58603942652331,10.672401433691755,1.435374149659864,16
POF03,46.32913943707538,16.481527013911357,1.494318181818182,48
UPS04,51.45855263157896,13.774603174603175,1.5566037735849056,38
OCM10,72.0338888888889,9.284160756501183,1.3983050847457628,13
CVL02,54.757659399424114,14.914191690662278,1.4813432835820894,40
