ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
SOU07,0.0555555555555555,0.0703703703703703,0.0,0.1777777777777777,0.1074074074074074,0.0,0.1222222222222222,0.0407407407407407,0.1333333333333333,0.1296296296296296,0.0259259259259259,0.0259259259259259,0.0074074074074074,0,0.0,0.0
BOD12,0.0493273542600896,0.085201793721973,0.0,0.1883408071748878,0.0941704035874439,0.0,0.0896860986547085,0.0493273542600896,0.1524663677130044,0.1121076233183856,0.0358744394618834,0.0358744394618834,0.0044843049327354,0,0.0,0.0
UPL02,0.0595611285266457,0.0783699059561128,0.0,0.1630094043887147,0.1065830721003134,0.006269592476489,0.1253918495297805,0.018808777429467,0.1536050156739812,0.1316614420062695,0.0219435736677116,0.0156739811912225,0.0031347962382445,0,0.0,0.0
SPC05,0.0725388601036269,0.082901554404145,0.0,0.1761658031088082,0.1243523316062176,0.0103626943005181,0.1139896373056994,0.0259067357512953,0.1450777202072538,0.1088082901554404,0.0155440414507772,0.0103626943005181,0.0,0,0.0,0.0
SOU14,0.0701754385964912,0.0263157894736842,0.0087719298245614,0.2017543859649122,0.087719298245614,0.0,0.1491228070175438,0.0175438596491228,0.1842105263157894,0.1052631578947368,0.0526315789473684,0.0087719298245614,0.0,0,0.0,0.0
UCA05,0.0372670807453416,0.062111801242236,0.0186335403726708,0.186335403726708,0.1118012422360248,0.0,0.0807453416149068,0.0434782608695652,0.1614906832298136,0.1366459627329192,0.0372670807453416,0.0062111801242236,0.0062111801242236,0,0.0,0.0
LYO05,0.0432900432900432,0.0606060606060606,0.0,0.1904761904761904,0.0952380952380952,0.0086580086580086,0.1255411255411255,0.0303030303030303,0.1471861471861472,0.1558441558441558,0.0259740259740259,0.0216450216450216,0.0,0,0.0,0.0
CVL03,0.0621468926553672,0.03954802259887,0.0,0.1807909604519774,0.1299435028248587,0.0,0.1242937853107344,0.0282485875706214,0.1468926553672316,0.135593220338983,0.0282485875706214,0.0056497175141242,0.0225988700564971,0,0.0,0.0
LRE11,0.0346320346320346,0.0432900432900432,0.0,0.1991341991341991,0.1298701298701298,0.0,0.1082251082251082,0.0216450216450216,0.1731601731601731,0.1385281385281385,0.0259740259740259,0.0043290043290043,0.0,0,0.0,0.0
SOU15,0.0439024390243902,0.0780487804878048,0.0,0.2,0.0926829268292682,0.0,0.0975609756097561,0.0292682926829268,0.1902439024390244,0.1219512195121951,0.024390243902439,0.0195121951219512,0.0,0,0.0,0.0
LDV05,0.0378151260504201,0.1008403361344537,0.0,0.1428571428571428,0.1092436974789916,0.0378151260504201,0.0798319327731092,0.0252100840336134,0.1218487394957983,0.1050420168067226,0.042016806722689,0.0126050420168067,0.0042016806722689,0,0.0,0.0084033613445378
UCA14,0.0334928229665071,0.0669856459330143,0.0,0.1626794258373205,0.1148325358851674,0.0143540669856459,0.0717703349282296,0.0574162679425837,0.1291866028708134,0.138755980861244,0.0334928229665071,0.0334928229665071,0.0239234449760765,0,0.0143540669856459,0.0
PES07,0.0434782608695652,0.0543478260869565,0.0054347826086956,0.1956521739130435,0.0760869565217391,0.0054347826086956,0.0978260869565217,0.0597826086956521,0.1521739130434782,0.1684782608695652,0.0217391304347826,0.0108695652173913,0.0108695652173913,0,0.0054347826086956,0.0
OCM13,0.0631578947368421,0.0473684210526315,0.0,0.1263157894736842,0.1631578947368421,0.0157894736842105,0.1157894736842105,0.0421052631578947,0.1105263157894736,0.0789473684210526,0.0263157894736842,0.0473684210526315,0.0,0,0.0,0.0
