ID,ttr,mtld
SOU07,0.0444444444444444,45.49406528189911
BOD12,0.0538116591928251,42.466028708133976
UPL02,0.0407523510971786,37.82633570069165
SPC05,0.0621761658031088,44.59469696969697
SOU14,0.1052631578947368,40.51470588235294
UCA05,0.0807453416149068,23.178756476683937
LYO05,0.0519480519480519,50.859828439511936
CVL03,0.0677966101694915,38.37072522390291
LRE11,0.0476190476190476,39.40524079320113
SOU15,0.0536585365853658,37.58333333333333
LDV05,0.0588235294117647,34.32490163012929
UCA14,0.0669856459330143,40.89639256187097
PES07,0.0815217391304347,35.03923444976076
OCM13,0.0631578947368421,24.098050173869844
UCA11,0.0433070866141732,42.86056755934267
BOD01,0.064516129032258,34.523741007194246
ALS10,0.0491803278688524,34.857142857142854
ALS11,0.0530612244897959,29.06156156156156
BOD07,0.047970479704797,41.46792047143767
SPC04,0.059090909090909,35.20963541666667
HES08,0.0414012738853503,61.37272727272728
LDV09,0.088235294117647,40.59135285913528
LYO11,0.0622222222222222,40.416751683329935
LOR08,0.0698924731182795,38.91761431515931
PES08,0.0726256983240223,28.935527690700106
BRE14,0.0619469026548672,36.08668903803133
UCA07,0.073170731707317,37.65032679738562
SPC08,0.0495495495495495,33.49354969131997
LDV08,0.0534979423868312,40.60062864840593
OCM14,0.0533980582524271,41.55305514157973
ALS08,0.0673575129533678,52.415662650602414
BRE16,0.0451388888888888,41.142857142857146
GRE07,0.0802919708029197,22.33347927612376
HES06,0.0738255033557047,18.625
LYO01,0.0407407407407407,38.57142857142857
BFC06,0.0368098159509202,36.97452064487853
OCM08,0.0588235294117647,45.77346231220306
ALS05,0.054054054054054,45.26882591093117
ALS09,0.0537190082644628,49.03456537207915
BOD04,0.0636363636363636,40.139585779865484
BRE04,0.0608695652173913,37.2565543071161
BOD11,0.0517241379310344,41.94605103280681
SPC09,0.0847457627118644,20.97041198501873
LOR03,0.0542986425339366,37.48461646926114
SEN02,0.0494699646643109,37.17804851221055
GRE01,0.0606060606060606,35.37303370786517
GRE13,0.0570175438596491,38.0
BFC02,0.0456026058631921,44.69213503271232
NOR04,0.0677966101694915,42.25315884476534
GRE03,0.0612244897959183,30.07317684458216
PES03,0.0710382513661202,51.65452911120923
HES03,0.0990990990990991,43.07632557673107
CFE09,0.0450819672131147,39.015478171808994
HES05,0.0653266331658291,31.07545187053384
SOU09,0.0849673202614379,37.10341726618705
ALS03,0.0659340659340659,55.55178072270068
LDV07,0.0521739130434782,38.333333333333336
CFE05,0.0415335463258785,42.74123051224944
OCM11,0.0697674418604651,30.799491648511257
LRE02,0.0535714285714285,44.8
HES02,0.0653266331658291,33.38605706874189
LYO02,0.0486725663716814,39.14279279279279
CFE02,0.0769230769230769,46.65460526315789
POF05,0.0777777777777777,27.31522024860115
BFC10,0.0698924731182795,36.48923647267746
OCM18,0.0622222222222222,44.06487129891386
SPC03,0.0612244897959183,32.76425693652604
UCA02,0.0833333333333333,39.18932038834952
CVL01,0.1857142857142857,29.166666666666664
OCM07,0.054054054054054,41.94073305781168
LRE09,0.0611111111111111,28.118522207351617
SOU01,0.0441176470588235,31.882624334639218
UPS10,0.0408163265306122,25.303676860000834
HES01,0.0764331210191082,16.09933065595716
NOR05,0.0653266331658291,30.36478643381927
SOU13,0.0548523206751054,42.09255509231686
ALS04,0.0517928286852589,36.07893025357358
NOR12,0.0423452768729641,36.55109315589354
LYO10,0.0655737704918032,48.079739836816486
PES04,0.1382978723404255,41.06565656565657
SOU10,0.048582995951417,46.68239608801956
PES06,0.0632183908045977,69.03939454691259
NOR10,0.0784313725490196,31.0049356223176
SEN01,0.0691489361702127,48.93421735627462
BFC09,0.0459363957597173,40.863237222408216
LOR02,0.0884353741496598,46.3936170212766
POF03,0.034090909090909,30.252718837934445
UPS04,0.0566037735849056,29.77770828390881
OCM10,0.1016949152542373,38.14743813175323
CVL02,0.04477611940298507,32.58700209643606
