ID,local_NOUN_overlap,local_content_overlap,global_NOUN_overlap,global_content_overlap,alliteration,anaphora,antimetabole,epanalepsis
SOU07,0.2142857142857142,3.142857142857143,1.2142857142857142,21.928571428571427,0.0444444444444444,1.0,1.0,0.0
BOD12,0.2727272727272727,4.2727272727272725,1.5454545454545454,20.90909090909091,0.0896860986547085,1.0,1.0,0.0909090909090909
UPL02,0.6363636363636364,4.909090909090909,2.090909090909091,22.09090909090909,0.0470219435736677,1.0,1.2307692307692308,0.0909090909090909
SPC05,0.4615384615384615,2.769230769230769,1.0,10.76923076923077,0.0673575129533678,1.0,1.1538461538461535,0.0769230769230769
SOU14,0.6666666666666666,3.333333333333333,1.5,7.666666666666667,0.0175438596491228,1.0,1.0,0.3333333333333333
UCA05,0.3636363636363636,2.363636363636364,0.9090909090909092,11.090909090909092,0.031055900621118,1.0,1.0,0.1818181818181818
LYO05,0.1818181818181818,3.090909090909091,0.8181818181818182,19.90909090909091,0.0519480519480519,1.0,1.3076923076923077,0.0
CVL03,0.0,2.6666666666666665,0.2222222222222222,12.666666666666666,0.03954802259887,1.0,1.0,0.0
LRE11,0.2,2.533333333333333,1.4666666666666666,17.2,0.0389610389610389,1.0,1.2,0.1333333333333333
SOU15,1.5714285714285714,6.285714285714286,4.285714285714286,19.142857142857142,0.048780487804878,1.0,1.0,0.0
LDV05,0.2,3.3,0.4,15.1,0.0336134453781512,1.0,1.0,0.1
UCA14,0.0625,2.8125,0.6875,19.5625,0.0430622009569378,1.0,1.0,0.0625
PES07,0.0,4.111111111111111,0.2222222222222222,15.11111111111111,0.0326086956521739,1.0,1.0,0.1111111111111111
OCM13,0.1538461538461538,2.923076923076923,0.3846153846153846,15.076923076923077,0.0631578947368421,1.0,1.0,0.0
UCA11,0.1666666666666666,3.583333333333333,0.5833333333333334,17.416666666666668,0.0669291338582677,1.0,1.0,0.0833333333333333
BOD01,0.2307692307692307,2.1538461538461537,1.0,15.23076923076923,0.032258064516129,1.2,1.0,0.0769230769230769
ALS10,0.0769230769230769,3.3846153846153846,0.5384615384615384,18.846153846153847,0.0573770491803278,1.0,1.0,0.0
ALS11,0.25,4.416666666666667,0.5833333333333334,21.08333333333333,0.0489795918367346,1.0,1.0,0.0833333333333333
BOD07,0.2941176470588235,3.0588235294117645,1.9411764705882355,21.529411764705884,0.051660516605166,1.0,1.0,0.1176470588235294
SPC04,0.0,2.25,0.5,18.5625,0.0363636363636363,1.0,1.0,0.125
HES08,0.1875,2.6875,1.125,23.1875,0.0286624203821656,1.0,1.0,0.125
LDV09,0.0909090909090909,2.363636363636364,0.2727272727272727,11.454545454545457,0.0661764705882353,1.0,1.0,0.3636363636363636
LYO11,0.0666666666666666,1.933333333333333,1.4,15.333333333333334,0.0311111111111111,1.0,1.0,0.2
LOR08,0.0,2.5,0.1666666666666666,13.416666666666666,0.0591397849462365,1.0,1.0,0.0
PES08,0.3,3.3,0.9,14.0,0.0893854748603352,1.0,1.0,0.2
BRE14,0.0,1.7,0.3,10.5,0.0884955752212389,1.8,1.0,0.2
UCA07,0.2307692307692307,3.076923076923077,0.3846153846153846,16.615384615384617,0.0426829268292682,1.0,1.0,0.2307692307692307
SPC08,0.3076923076923077,3.4615384615384617,1.1538461538461535,20.23076923076923,0.036036036036036,1.0,1.0,0.0
LDV08,0.5454545454545454,4.0,2.272727272727273,21.181818181818183,0.037037037037037,1.0,1.0,0.0909090909090909
OCM14,0.0,2.7142857142857144,0.2857142857142857,18.928571428571427,0.058252427184466,1.0,1.0,0.0714285714285714
ALS08,0.0769230769230769,2.3846153846153846,1.0,13.846153846153848,0.0414507772020725,1.0,1.0,0.1538461538461538
BRE16,0.2857142857142857,2.642857142857143,1.2142857142857142,20.142857142857142,0.0694444444444444,1.0,1.0,0.0714285714285714
GRE07,0.3846153846153846,2.8461538461538463,0.7692307692307693,13.692307692307692,0.0437956204379562,1.0,1.1904761904761905,0.2307692307692307
HES06,0.3333333333333333,2.25,1.0833333333333333,7.0,0.0536912751677852,1.0,1.0,0.4166666666666667
LYO01,0.3846153846153846,3.4615384615384617,0.6923076923076923,18.46153846153846,0.0888888888888888,1.0,1.0,0.1538461538461538
BFC06,0.8,6.7,3.0,31.6,0.0429447852760736,1.0,1.0,0.0
OCM08,0.3,2.6,0.7,12.7,0.0588235294117647,1.0,1.0,0.1
ALS05,1.0,5.625,2.625,19.125,0.0675675675675675,1.0,1.0,0.0
ALS09,0.0,3.230769230769231,1.3846153846153846,20.23076923076923,0.0330578512396694,1.0,1.0,0.0769230769230769
BOD04,0.0909090909090909,3.0,0.7272727272727273,16.181818181818183,0.0454545454545454,1.0,1.0,0.0909090909090909
BRE04,0.1818181818181818,3.1818181818181817,0.4545454545454545,14.454545454545457,0.0391304347826087,1.0,1.0,0.1818181818181818
BOD11,0.4,4.2,0.7,18.3,0.0646551724137931,1.0,1.0,0.1
SPC09,0.3333333333333333,2.0,0.75,9.166666666666666,0.0677966101694915,1.0,1.0,0.4166666666666667
LOR03,0.0,2.5,0.75,17.8125,0.0452488687782805,1.0,1.0,0.125
SEN02,0.3571428571428571,3.071428571428572,1.3571428571428572,21.428571428571427,0.0353356890459364,1.0,1.0,0.1428571428571428
GRE01,0.0909090909090909,2.727272727272727,0.4545454545454545,12.727272727272728,0.0555555555555555,1.0,1.0,0.0
GRE13,0.2307692307692307,3.3846153846153846,0.3846153846153846,18.23076923076923,0.1271929824561403,1.0,1.0,0.3076923076923077
