ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
SOU07,0.0364583333333333,0.0729166666666666,0.0208333333333333,0.1614583333333333,0.1197916666666666,0.0,0.1510416666666666,0.0260416666666666,0.1354166666666666,0.09375,0.0208333333333333,0.0104166666666666,0.0,0,0.0,0.0
BOD12,0.0775193798449612,0.0581395348837209,0.0077519379844961,0.1976744186046511,0.0736434108527131,0.0,0.0813953488372093,0.0387596899224806,0.1705426356589147,0.1240310077519379,0.0348837209302325,0.0116279069767441,0.0,0,0.0,0.0
UPL02,0.046979865771812,0.0738255033557047,0.0,0.0939597315436241,0.2080536912751678,0.0335570469798657,0.1006711409395973,0.087248322147651,0.0805369127516778,0.0805369127516778,0.0201342281879194,0.0268456375838926,0.0134228187919463,0,0.0,0.0
SPC05,0.1123595505617977,0.0561797752808988,0.0,0.196629213483146,0.0730337078651685,0.0056179775280898,0.095505617977528,0.0224719101123595,0.1516853932584269,0.1067415730337078,0.0224719101123595,0.0224719101123595,0.0056179775280898,0,0.0,0.0
SOU14,0.1093117408906882,0.0445344129554655,0.0,0.1902834008097166,0.0769230769230769,0.0,0.1295546558704453,0.0242914979757085,0.1781376518218623,0.117408906882591,0.0364372469635627,0.0161943319838056,0.0,0,0.0,0.0
UCA05,0.0565217391304347,0.0347826086956521,0.0,0.1739130434782608,0.1260869565217391,0.0217391304347826,0.108695652173913,0.0521739130434782,0.1347826086956521,0.1130434782608695,0.0304347826086956,0.0391304347826087,0.0,0,0.0,0.0
LYO05,0.0850202429149797,0.048582995951417,0.0040485829959514,0.1578947368421052,0.1052631578947368,0.0283400809716599,0.1093117408906882,0.0364372469635627,0.1255060728744939,0.1336032388663967,0.020242914979757,0.0283400809716599,0.0040485829959514,0,0.0,0.0161943319838056
CVL03,0.0652173913043478,0.0347826086956521,0.0,0.2,0.1,0.0043478260869565,0.1260869565217391,0.017391304347826,0.1304347826086956,0.1304347826086956,0.017391304347826,0.0130434782608695,0.017391304347826,0,0.0043478260869565,0.0
LRE11,0.0344827586206896,0.0344827586206896,0.0114942528735632,0.1436781609195402,0.1781609195402299,0.0,0.1551724137931034,0.0114942528735632,0.1264367816091954,0.132183908045977,0.028735632183908,0.0057471264367816,0.0,0,0.0,0.0
SOU15,0.0433212996389891,0.0577617328519855,0.0,0.1841155234657039,0.1191335740072202,0.0,0.0938628158844765,0.0288808664259927,0.1624548736462094,0.1407942238267148,0.0288808664259927,0.0144404332129963,0.003610108303249,0,0.0,0.0
