ID,flesch_kincaid_score,gunning_fog_index,average_syllables,polysyllabic_word_count
BOD12,68.47015734265736,10.640559440559445,1.3294573643410852,16
UPL02,84.68524475524478,5.963947163947164,1.248322147651007,5
SPC05,69.21537131882205,8.82560819462228,1.398876404494382,13
SOU14,38.8313356164384,20.99269406392694,1.48582995951417,35
UCA05,54.18606433506048,13.065457685664938,1.5347826086956522,36
LYO05,53.72882629107983,14.72488262910798,1.4615384615384617,30
CVL03,57.95943196004996,13.304369538077404,1.4304347826086956,26
LRE11,76.85994505494504,8.87912087912088,1.3275862068965518,16
SOU15,51.384155844155856,17.00952380952381,1.3826714801444044,24
LDV05,76.23923089378239,8.141062176165804,1.3263598326359831,16
UCA14,66.0794382022472,9.3553772070626,1.4212962962962965,22
PES07,48.9325369299936,15.087732819524726,1.55,32
OCM13,77.1298410680229,5.70654799745709,1.3269230769230769,8
UCA11,49.24100609756101,13.856097560975613,1.6024844720496894,32
BOD01,68.81016194331987,9.705982905982909,1.4019607843137254,19
ALS10,62.373125000000016,11.191666666666668,1.4048582995951415,24
ALS11,57.34276039749725,12.555171144644827,1.4881889763779528,36
BOD07,90.54284110050536,6.259180235822573,1.193181818181818,7
SPC04,65.60036401098901,9.824725274725276,1.415966386554622,25
HES08,78.8729256889764,6.639566929133858,1.308139534883721,11
LDV09,59.00782599309156,11.614680483592402,1.4887892376681615,27
LYO11,89.50842105263159,6.711278195488723,1.229050279329609,9
LOR08,77.2227272727273,8.014141414141415,1.3,11
PES08,54.566787769784185,10.739856115107914,1.5139664804469273,22
BRE14,80.17904761904762,7.523809523809525,1.2717391304347827,12
UCA07,66.18318363717209,10.409782125389064,1.4150943396226414,22
SPC08,74.42290209790212,8.111888111888112,1.3863636363636365,13
LDV08,64.03297928994084,11.493727810650888,1.416243654822335,20
OCM14,64.89099469496023,10.181432360742706,1.4265402843601895,21
ALS08,60.37318181818184,13.746826758147511,1.43359375,34
BRE16,71.50869205298017,8.28779564806055,1.377659574468085,16
GRE07,62.58618203785744,11.32194925493355,1.4541484716157205,27
HES06,60.89945754716982,11.086163522012578,1.4568527918781726,28
LYO01,73.15421052631582,6.064160401002507,1.4014084507042253,9
BFC06,45.23021708683476,14.656022408963588,1.588235294117647,23
OCM08,54.72128524046437,12.522719734660036,1.5344827586206895,25
ALS05,59.21663940013636,11.170824812542604,1.455497382198953,16
ALS09,74.27275733581743,8.042664182580344,1.394736842105263,18
BOD04,62.53792245989307,12.613689839572194,1.3982300884955752,25
BRE04,64.24680084745765,11.097740112994352,1.4413145539906105,25
BOD11,82.46400000000003,7.016140350877193,1.2714285714285714,7
SPC09,54.90534090909094,11.217045454545456,1.5375,22
LOR03,71.72062500000001,8.55,1.3836206896551724,19
SEN02,72.72307751937987,9.237829457364342,1.3807339449541285,23
GRE01,60.66866127023664,9.692652552926528,1.4497354497354498,17
GRE13,67.43703564727957,11.185741088180114,1.3858267716535433,27
BFC02,69.83416666666669,9.19047619047619,1.4146341463414631,21
NOR04,54.5343196202532,12.20379746835443,1.4789473684210526,17
GRE03,58.49045454545456,11.313752913752914,1.476439790575916,22
PES03,56.795123087159055,13.1707252162342,1.4803921568627452,25
HES03,67.33438311688315,9.787012987012986,1.4184397163120568,16
CFE09,81.13288659793817,7.398527245949928,1.290598290598291,11
HES05,75.00440654205609,9.139813084112149,1.3430656934306568,13
SOU09,37.923552238806,13.71820895522388,1.6956521739130437,29
ALS03,64.93630232558142,12.228837209302323,1.3820754716981132,23
LDV07,67.5601736972705,8.898263027295286,1.4263959390862944,22
CFE05,74.30350000000001,7.728888888888889,1.3631284916201116,14
OCM11,81.49400000000001,6.596879432624114,1.2960893854748603,11
LRE02,66.52545454545456,11.29197860962567,1.3728070175438596,21
HES02,70.65547918948523,10.792332968236584,1.3794212218649518,39
LYO02,79.43492647058825,7.845098039215687,1.2748091603053435,8
CFE02,72.36845283018872,7.636226415094339,1.3858267716535433,9
POF05,57.72777027027027,11.291891891891892,1.4913793103448276,30
BFC10,51.292955827067686,13.266541353383458,1.520958083832335,23
OCM18,64.42615384615388,10.295908346972178,1.4602272727272727,22
SPC03,70.66598684210527,7.805263157894737,1.3289473684210529,3
UCA02,50.87526089625538,14.895273173726212,1.523148148148148,32
CVL01,79.87746606334842,7.583509301156361,1.2925531914893618,11
OCM07,63.21533783783785,11.940540540540542,1.4177777777777778,22
LRE09,71.9942307692308,8.407692307692308,1.3603603603603605,12
SOU01,73.16236263736263,8.457142857142857,1.339366515837104,13
UPS10,80.35824637681159,7.51536231884058,1.2876106194690264,12
HES01,69.7227540106952,10.181818181818182,1.364077669902913,17
NOR05,69.43590909090912,10.767676767676768,1.391705069124424,23
SOU13,86.97221026049976,6.749707602339182,1.2442748091603053,13
ALS04,78.72757684426232,8.072267759562843,1.3013100436681222,16
NOR12,73.70450450450451,7.095495495495496,1.3316582914572863,9
LYO10,76.99857206937801,8.861363636363638,1.3359375,23
PES04,47.73736842105265,14.757894736842104,1.5161290322580645,19
SOU10,58.38213903743318,12.575401069518716,1.4577777777777778,27
PES06,45.45431746031747,16.692063492063493,1.569377990430622,39
NOR10,71.78184275184277,9.754299754299756,1.3218884120171674,16
SEN01,64.10991228070176,9.27719298245614,1.4820143884892083,14
BFC09,53.43476190476193,14.252380952380951,1.4785714285714286,20
LOR02,56.53358926342074,13.97852684144819,1.4647887323943662,29
POF03,71.90950146627567,9.50733137829912,1.3756345177664977,18
UPS04,68.54734113712377,8.883835005574136,1.4180790960451977,18
OCM10,65.41157814096017,11.64126659856997,1.3990825688073394,24
CVL02,70.19575163398694,9.86797385620915,1.3511904761904763,13
