ID,local_NOUN_overlap,local_content_overlap,global_NOUN_overlap,global_content_overlap,alliteration,anaphora,antimetabole,epanalepsis
SOU07,0.2142857142857142,2.7142857142857144,0.5,15.428571428571429,0.0416666666666666,1.0,1.0,0.2142857142857142
BOD12,0.8181818181818182,4.181818181818182,2.1818181818181817,21.27272727272728,0.0503875968992248,1.0,1.3333333333333333,0.0
UPL02,0.0,1.7272727272727273,0.1818181818181818,9.545454545454543,0.0134228187919463,1.0,1.0,0.0909090909090909
SPC05,0.4545454545454545,3.4545454545454546,1.7272727272727273,16.181818181818183,0.0505617977528089,1.0,1.0,0.0
SOU14,1.0,5.666666666666667,1.8333333333333333,14.166666666666666,0.0647773279352226,1.0,1.0,0.0
UCA05,0.75,3.8333333333333335,1.25,18.5,0.0521739130434782,1.0,1.0,0.0833333333333333
LYO05,0.0,3.6666666666666665,0.3333333333333333,16.444444444444443,0.0607287449392712,1.0,1.0,0.0
CVL03,0.0,3.888888888888889,0.6666666666666666,19.55555555555556,0.0608695652173913,1.0,1.0,0.0
LRE11,0.0,1.8461538461538465,0.1538461538461538,10.153846153846152,0.028735632183908,1.0,1.0,0.2307692307692307
SOU15,0.7142857142857143,5.714285714285714,1.1428571428571428,18.142857142857142,0.0541516245487364,1.0,1.2,0.0
LDV05,0.3125,2.3125,1.6875,18.625,0.0502092050209205,1.3333333333333333,1.0,0.0625
UCA14,0.1428571428571428,2.7857142857142856,0.5,19.214285714285715,0.0509259259259259,1.0,1.0,0.0714285714285714
PES07,0.5555555555555556,4.333333333333333,1.0,13.88888888888889,0.06,1.0,1.181818181818182,0.1111111111111111
OCM13,0.0,1.8461538461538465,0.2307692307692307,9.692307692307692,0.0448717948717948,1.0,1.5,0.1538461538461538
UCA11,0.1666666666666666,2.083333333333333,0.1666666666666666,8.916666666666666,0.0186335403726708,1.0,1.0,0.1666666666666666
BOD01,0.3846153846153846,3.692307692307693,2.3076923076923075,19.76923076923077,0.0588235294117647,1.0,1.0,0.0
ALS10,0.1666666666666666,2.6666666666666665,0.6666666666666666,16.583333333333332,0.0242914979757085,1.0,1.0,0.0833333333333333
ALS11,0.1538461538461538,2.769230769230769,0.6923076923076923,17.923076923076923,0.0472440944881889,1.0,1.0,0.1538461538461538
BOD07,0.2307692307692307,2.6923076923076925,1.4615384615384617,15.76923076923077,0.0511363636363636,1.0,1.0,0.0769230769230769
SPC04,0.0,2.1875,0.375,15.9375,0.0336134453781512,1.0,1.0,0.0625
HES08,0.5,2.875,1.8125,19.375,0.0290697674418604,1.0,1.0,0.25
LDV09,0.5833333333333334,3.5,2.5,18.75,0.0717488789237668,1.0,1.0,0.1666666666666666
LYO11,0.1428571428571428,1.9285714285714288,1.1428571428571428,13.428571428571429,0.0558659217877094,1.0,1.2272727272727273,0.0
LOR08,0.0909090909090909,2.272727272727273,0.6363636363636364,15.090909090909092,0.0611111111111111,1.0,1.1,0.0
PES08,0.0,2.6,0.3,12.7,0.0726256983240223,1.0,1.0,0.0
BRE14,0.1666666666666666,2.25,0.4166666666666667,12.333333333333334,0.0597826086956521,1.0,1.0,0.0833333333333333
UCA07,0.0,1.6923076923076923,0.1538461538461538,13.0,0.0424528301886792,1.0,1.0,0.0769230769230769
SPC08,0.0,1.6923076923076923,0.0769230769230769,8.923076923076923,0.053030303030303,1.0,1.0,0.2307692307692307
LDV08,0.3,3.5,1.1,16.1,0.0507614213197969,1.0,1.0,0.0
OCM14,0.2307692307692307,2.3846153846153846,1.4615384615384617,15.76923076923077,0.0379146919431279,1.0,1.0,0.2307692307692307
ALS08,0.1818181818181818,3.4545454545454546,1.4545454545454546,19.27272727272728,0.1171875,1.0,1.0,0.0909090909090909
BRE16,0.0,1.2857142857142858,0.2857142857142857,11.071428571428571,0.0904255319148936,1.1111111111111112,1.0,0.2142857142857142
GRE07,0.0,2.8461538461538463,1.1538461538461535,18.384615384615383,0.0524017467248908,1.0,1.0,0.2307692307692307
HES06,0.3333333333333333,3.0,0.9166666666666666,18.0,0.0253807106598984,1.25,1.0,0.0833333333333333
LYO01,0.0714285714285714,1.6428571428571428,0.4285714285714285,8.857142857142858,0.0211267605633802,1.0,1.0,0.2857142857142857
BFC06,0.1666666666666666,2.6666666666666665,0.6666666666666666,9.666666666666666,0.0588235294117647,1.0,1.0,0.1666666666666666
OCM08,0.2222222222222222,2.6666666666666665,0.4444444444444444,9.444444444444445,0.0517241379310344,1.0,1.0,0.3333333333333333
ALS05,0.6666666666666666,3.333333333333333,2.2222222222222223,12.0,0.031413612565445,1.0,1.0,0.2222222222222222
ALS09,0.0,1.2105263157894737,0.1578947368421052,11.68421052631579,0.0328947368421052,1.0,1.0,0.4210526315789473
BOD04,0.3,4.1,0.9,16.4,0.0619469026548672,1.0,1.0,0.1
