ID,local_NOUN_overlap,local_content_overlap,global_NOUN_overlap,global_content_overlap,alliteration,anaphora,antimetabole,epanalepsis
SOU07,0.4285714285714285,3.7142857142857135,1.2142857142857142,21.571428571428573,0.0448430493273542,1.0,1.2105263157894737,0.0
BOD12,0.5555555555555556,4.222222222222222,3.2222222222222223,19.666666666666668,0.0476190476190476,1.25,1.0,0.0
UPL02,0.5,3.4,1.3,13.3,0.0700934579439252,1.0,1.0,0.0
SPC05,0.3846153846153846,3.923076923076923,2.4615384615384617,25.692307692307693,0.0592334494773519,1.0,1.0,0.0769230769230769
SOU14,0.1666666666666666,2.6666666666666665,0.6666666666666666,7.166666666666667,0.0109890109890109,1.0,1.0,0.3333333333333333
UCA05,0.7272727272727273,4.363636363636363,3.090909090909091,20.90909090909091,0.0414746543778801,1.5714285714285714,1.0,0.0
LYO05,0.2222222222222222,4.0,0.6666666666666666,18.11111111111111,0.0594059405940594,1.0,1.04,0.0
CVL03,0.3333333333333333,2.4444444444444446,1.1111111111111112,10.444444444444445,0.0429447852760736,2.1578947368421053,1.24,0.1111111111111111
LRE11,0.5,2.833333333333333,1.3333333333333333,16.0,0.0325581395348837,1.8666666666666667,1.0,0.1666666666666666
SOU15,0.4285714285714285,4.142857142857143,2.2857142857142856,16.0,0.05,1.6153846153846154,1.0,0.2857142857142857
LDV05,0.2,2.6666666666666665,0.6,17.266666666666666,0.0446428571428571,1.0,1.0,0.1333333333333333
UCA14,0.5,3.2142857142857144,1.0714285714285714,20.928571428571427,0.064625850340136,1.0,1.0,0.0714285714285714
PES07,0.125,3.625,0.5,12.5,0.032258064516129,1.0,1.0,0.25
OCM13,0.0909090909090909,1.0909090909090908,0.2727272727272727,4.181818181818182,0.0612244897959183,1.0,1.0,0.2727272727272727
UCA11,0.0,2.0,0.0,11.0,0.0604395604395604,1.0,1.0,0.2
BOD01,0.4615384615384615,3.769230769230769,1.6923076923076923,22.384615384615383,0.0833333333333333,1.0,1.0,0.0
ALS10,0.0,2.272727272727273,0.3636363636363636,11.363636363636363,0.0555555555555555,1.0,1.0,0.0
ALS11,0.0909090909090909,2.727272727272727,0.0909090909090909,15.363636363636363,0.0614525139664804,1.0,1.0,0.0909090909090909
BOD07,0.3846153846153846,2.6153846153846154,1.6153846153846154,17.23076923076923,0.0412371134020618,1.2,1.0,0.0769230769230769
SPC04,0.2857142857142857,2.857142857142857,0.7142857142857143,16.785714285714285,0.0478468899521531,1.0,1.0,0.1428571428571428
HES08,0.0666666666666666,1.8,0.8666666666666667,13.2,0.053763440860215,1.9090909090909087,1.0,0.2
LDV09,0.2222222222222222,3.0,0.8888888888888888,12.333333333333334,0.0817610062893081,1.0,1.0,0.1111111111111111
LYO11,0.0769230769230769,2.6923076923076925,0.7692307692307693,18.53846153846154,0.0710900473933649,1.0,1.3076923076923077,0.1538461538461538
LOR08,0.2,3.8,0.7,17.1,0.0474137931034482,1.0,1.0,0.1
PES08,0.1,3.6,0.4,18.7,0.0333333333333333,1.0,1.0,0.1
BRE14,0.1,2.5,0.8,14.5,0.0257731958762886,1.0,1.0,0.2
UCA07,0.1538461538461538,2.6153846153846154,1.3076923076923077,17.846153846153847,0.0485436893203883,1.0,1.0,0.1538461538461538
SPC08,0.3076923076923077,2.923076923076923,1.1538461538461535,14.692307692307692,0.0292682926829268,1.0,1.0,0.0769230769230769
LDV08,0.1,1.9,0.4,11.8,0.036231884057971,1.0,1.0,0.0
OCM14,0.1333333333333333,2.066666666666667,0.8,14.666666666666666,0.0271493212669683,1.0,1.0,0.2
ALS08,0.3333333333333333,3.75,1.0,20.416666666666668,0.0524193548387096,1.3333333333333333,1.0,0.0
BRE16,0.1538461538461538,2.3846153846153846,0.3846153846153846,13.846153846153848,0.07,1.0,1.0,0.2307692307692307
GRE07,0.75,4.583333333333333,2.833333333333333,23.33333333333333,0.0203252032520325,3.333333333333333,1.0,0.0
HES06,0.0833333333333333,1.4166666666666667,0.1666666666666666,5.583333333333333,0.0703125,1.0,1.0,0.5
LYO01,0.0714285714285714,1.8571428571428568,0.2142857142857142,12.642857142857142,0.0555555555555555,1.0,1.0,0.0714285714285714
BFC06,0.1,2.9,0.5,14.7,0.029585798816568,1.0,1.0,0.2
OCM08,0.125,2.125,0.125,6.875,0.0198019801980198,1.0,1.0,0.25
ALS05,1.0,3.4444444444444446,2.555555555555556,12.666666666666666,0.0641711229946524,1.0,1.0,0.1111111111111111
ALS09,0.2,2.2666666666666666,0.8,16.333333333333332,0.0288461538461538,1.0,1.0,0.2666666666666666
BOD04,0.0,2.5,0.25,8.25,0.04,1.0,1.0,0.25
BRE04,0.0833333333333333,1.6666666666666667,1.0833333333333333,10.5,0.0625,1.0,1.0,0.1666666666666666
BOD11,0.4,3.2,0.5,12.0,0.06875,1.0,1.0,0.0
SPC09,0.2727272727272727,3.090909090909091,0.6363636363636364,14.636363636363637,0.0379746835443038,1.0,1.0,0.0909090909090909
LOR03,0.0666666666666666,2.2666666666666666,0.5333333333333333,17.4,0.0686274509803921,1.0,1.0,0.1333333333333333
SEN02,0.0,2.230769230769231,0.3846153846153846,14.23076923076923,0.0552486187845303,1.0,1.0,0.1538461538461538
GRE01,0.4444444444444444,4.111111111111111,1.0,14.0,0.0393258426966292,1.0,1.0,0.1111111111111111
GRE13,0.0,1.818181818181818,0.6363636363636364,11.545454545454543,0.0516129032258064,1.0,1.0,0.4545454545454545
BFC02,0.0,2.333333333333333,0.6666666666666666,16.666666666666668,0.0622837370242214,1.3333333333333333,1.0,0.1666666666666666
