ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
SOU07,0.0807174887892376,0.0627802690582959,0.0,0.1659192825112107,0.1255605381165919,0.0,0.1434977578475336,0.0044843049327354,0.1390134529147982,0.1031390134529148,0.0179372197309417,0.0179372197309417,0.0044843049327354,0,0.0,0.0
BOD12,0.0476190476190476,0.0634920634920634,0.0,0.2222222222222222,0.0634920634920634,0.0,0.1005291005291005,0.0634920634920634,0.1428571428571428,0.1693121693121693,0.0211640211640211,0.0052910052910052,0.0052910052910052,0,0.0,0.0
UPL02,0.0700934579439252,0.0747663551401869,0.0,0.1682242990654205,0.1121495327102803,0.0,0.102803738317757,0.0327102803738317,0.1448598130841121,0.1261682242990654,0.0327102803738317,0.014018691588785,0.0093457943925233,0,0.0,0.0
SPC05,0.0348432055749128,0.073170731707317,0.0,0.1951219512195122,0.0905923344947735,0.0,0.1045296167247386,0.0278745644599303,0.1637630662020905,0.1254355400696864,0.0348432055749128,0.0174216027874564,0.0209059233449477,0,0.0,0.0
SOU14,0.0329670329670329,0.0109890109890109,0.0,0.2087912087912088,0.1208791208791208,0.0,0.1208791208791208,0.0329670329670329,0.1648351648351648,0.1648351648351648,0.0329670329670329,0.0,0.0109890109890109,0,0.0,0.0
UCA05,0.0460829493087557,0.0506912442396313,0.0,0.2258064516129032,0.0967741935483871,0.0,0.064516129032258,0.0552995391705069,0.152073732718894,0.1474654377880184,0.0276497695852534,0.0230414746543778,0.0046082949308755,0,0.0,0.0
LYO05,0.0544554455445544,0.0891089108910891,0.0,0.1633663366336633,0.0643564356435643,0.0247524752475247,0.1435643564356435,0.0198019801980198,0.1287128712871287,0.1584158415841584,0.0247524752475247,0.0247524752475247,0.0099009900990099,0,0.0,0.0
CVL03,0.0429447852760736,0.0429447852760736,0.0,0.1717791411042944,0.1656441717791411,0.0122699386503067,0.1411042944785276,0.0368098159509202,0.1226993865030674,0.0920245398773006,0.0368098159509202,0.0061349693251533,0.0061349693251533,0,0.0,0.0
LRE11,0.027906976744186,0.0651162790697674,0.0046511627906976,0.1720930232558139,0.1488372093023255,0.0,0.0976744186046511,0.027906976744186,0.1534883720930232,0.1209302325581395,0.0372093023255813,0.013953488372093,0.0046511627906976,0,0.0,0.0
SOU15,0.035,0.035,0.0,0.19,0.14,0.0,0.13,0.02,0.165,0.125,0.03,0.025,0.005,0,0.0,0.0
