ID,proportion_ADJ,proportion_ADV,proportion_INTJ,proportion_NOUN,proportion_PRON,proportion_PROPN,proportion_VERB,proportion_AUX,proportion_DET,proportion_ADP,proportion_CCONJ,proportion_SCONJ,proportion_NUM,proportion_PART,proportion_SYM,proportion_X
SOU07,0.0583941605839416,0.0686131386861313,0.0058394160583941,0.1693430656934306,0.1167883211678832,0.0,0.1372262773722627,0.0248175182481751,0.1357664233576642,0.110948905109489,0.0218978102189781,0.018978102189781,0.0043795620437956,0,0.0,0.0
BOD12,0.0597014925373134,0.0686567164179104,0.0029850746268656,0.2014925373134328,0.0776119402985074,0.0,0.0895522388059701,0.0492537313432835,0.1567164179104477,0.1328358208955224,0.0313432835820895,0.017910447761194,0.0029850746268656,0,0.0,0.0
UPL02,0.0601173020527859,0.0762463343108504,0.0,0.1495601173020528,0.1304985337243401,0.0102639296187683,0.1129032258064516,0.0381231671554252,0.1348973607038123,0.1187683284457478,0.0249266862170087,0.0175953079178885,0.0073313782991202,0,0.0,0.0
SPC05,0.0668693009118541,0.0714285714285714,0.0,0.1899696048632219,0.0957446808510638,0.0045592705167173,0.1048632218844984,0.0258358662613981,0.155015197568389,0.1155015197568389,0.0258358662613981,0.0167173252279635,0.0106382978723404,0,0.0,0.0
SOU14,0.084070796460177,0.0331858407079646,0.0022123893805309,0.1969026548672566,0.0884955752212389,0.0,0.1327433628318584,0.0243362831858407,0.1769911504424778,0.1238938053097345,0.0398230088495575,0.0110619469026548,0.0022123893805309,0,0.0,0.0
UCA05,0.0476973684210526,0.0476973684210526,0.0049342105263157,0.1957236842105263,0.1118421052631579,0.0082236842105263,0.0855263157894736,0.0509868421052631,0.1480263157894736,0.131578947368421,0.03125,0.0246710526315789,0.0032894736842105,0,0.0,0.0
LYO05,0.0617647058823529,0.0647058823529411,0.0014705882352941,0.1705882352941176,0.0897058823529411,0.0205882352941176,0.125,0.0294117647058823,0.1338235294117647,0.1485294117647058,0.0235294117647058,0.025,0.0044117647058823,0,0.0,0.0058823529411764
CVL03,0.0578947368421052,0.0385964912280701,0.0,0.1859649122807017,0.1280701754385965,0.0052631578947368,0.1298245614035087,0.0263157894736842,0.1333333333333333,0.1210526315789473,0.0263157894736842,0.0087719298245614,0.0157894736842105,0,0.0017543859649122,0.0
LRE11,0.032258064516129,0.0483870967741935,0.0048387096774193,0.1741935483870967,0.15,0.0,0.1177419354838709,0.0209677419354838,0.1532258064516129,0.1306451612903225,0.0306451612903225,0.0080645161290322,0.0016129032258064,0,0.0,0.0
SOU15,0.0410557184750733,0.0571847507331378,0.0,0.1906158357771261,0.1173020527859237,0.0,0.1055718475073313,0.0263929618768328,0.1715542521994134,0.1304985337243401,0.0278592375366568,0.0190615835777126,0.002932551319648,0,0.0,0.0
LDV05,0.0456490727532097,0.0798858773181169,0.0042796005706134,0.1583452211126961,0.1126961483594864,0.0256776034236804,0.0927246790299572,0.028530670470756,0.1369472182596291,0.115549215406562,0.0385164051355206,0.0114122681883024,0.0042796005706134,0,0.0,0.0028530670470756
UCA14,0.0292072322670375,0.0667593880389429,0.0013908205841446,0.2030598052851182,0.0890125173852573,0.0097357440890125,0.0848400556328233,0.0375521557719054,0.1474269819193324,0.1543810848400556,0.0319888734353268,0.0208623087621696,0.0097357440890125,0,0.0041724617524339,0.0013908205841446
PES07,0.072356215213358,0.0519480519480519,0.0018552875695732,0.196660482374768,0.0686456400742115,0.0092764378478664,0.1094619666048237,0.0426716141001855,0.1391465677179963,0.1669758812615955,0.0259740259740259,0.0185528756957328,0.0074211502782931,0,0.0037105751391465,0.0
OCM13,0.0585585585585585,0.0518018018018018,0.0045045045045045,0.1531531531531531,0.1238738738738738,0.018018018018018,0.1148648648648648,0.0427927927927927,0.1238738738738738,0.0788288288288288,0.0225225225225225,0.036036036036036,0.0135135135135135,0,0.0,0.0
UCA11,0.0619765494137353,0.0787269681742043,0.0016750418760469,0.1758793969849246,0.1021775544388609,0.0,0.1155778894472361,0.0368509212730318,0.1323283082077052,0.1474036850921273,0.0351758793969849,0.0067001675041876,0.0016750418760469,0,0.0,0.0
